Test Case,Rows,Columns,Xmin,Xmax,Ymin,Ymax,Search Density,Time1,Time2,Time3,Time4,Time5,AvgTime
1,1000,1000,-100.000000,100.000000,-100.000000,100.000000,0.100000,19,24,16,19,21,19.8
2,2000,2000,-100.000000,100.000000,-100.000000,100.000000,0.100000,37,33,34,32,35,34.2
3,3000,3000,-100.000000,100.000000,-100.000000,100.000000,0.100000,47,31,32,32,34,35.2
4,4000,4000,-100.000000,100.000000,-100.000000,100.000000,0.100000,54,59,58,54,52,55.4
5,5000,5000,-100.000000,100.000000,-100.000000,100.000000,0.100000,103,98,110,98,96,101.0
6,6000,6000,-100.000000,100.000000,-100.000000,100.000000,0.100000,113,114,109,96,114,109.2
7,7000,7000,-100.000000,100.000000,-100.000000,100.000000,0.100000,171,195,155,197,200,183.6
8,8000,8000,-100.000000,100.000000,-100.000000,100.000000,0.100000,285,160,198,213,191,209.4
9,9000,9000,-100.000000,100.000000,-100.000000,100.000000,0.100000,177,221,175,227,249,209.8
10,10000,10000,-100.000000,100.000000,-100.000000,100.000000,0.100000,337,270,294,301,280,296.4
11,11000,11000,-100.000000,100.000000,-100.000000,100.000000,0.100000,332,293,312,298,294,305.8
12,12000,12000,-100.000000,100.000000,-100.000000,100.000000,0.100000,320,351,359,323,357,342.0
13,13000,13000,-100.000000,100.000000,-100.000000,100.000000,0.100000,602,589,572,771,662,639.2
14,14000,14000,-100.000000,100.000000,-100.000000,100.000000,0.100000,662,585,603,639,642,626.2
15,15000,15000,-100.000000,100.000000,-100.000000,100.000000,0.100000,744,655,710,667,687,692.6
16,16000,16000,-100.000000,100.000000,-100.000000,100.000000,0.100000,789,753,996,814,788,828.0
17,17000,17000,-100.000000,100.000000,-100.000000,100.000000,0.100000,697,717,772,798,774,751.6
18,18000,18000,-100.000000,100.000000,-100.000000,100.000000,0.100000,818,725,798,761,742,768.8
19,19000,19000,-100.000000,100.000000,-100.000000,100.000000,0.100000,1300,1358,1263,1446,1326,1338.6
20,20000,20000,-100.000000,100.000000,-100.000000,100.000000,0.100000,1486,1450,1453,1526,1527,1488.4
