Test Case,Rows,Columns,Xmin,Xmax,Ymin,Ymax,Search Density,Time1,Time2,Time3,Time4,Time5,AvgTime
1,1000,1000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",7,7,9,6,7,7.2
2,2000,2000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",21,11,16,17,16,16.2
3,3000,3000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",18,16,17,17,16,16.8
4,4000,4000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",39,30,27,30,31,31.4
5,5000,5000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",104,90,69,67,64,78.8
6,6000,6000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",70,114,80,92,54,82.0
7,7000,7000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",139,134,132,136,154,139.0
8,8000,8000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",144,164,147,150,154,151.8
9,9000,9000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",160,166,154,158,194,166.4
10,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",303,304,322,390,351,334.0
11,11000,11000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",355,398,323,352,368,359.2
12,12000,12000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",353,381,366,390,364,370.8
13,13000,13000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",724,675,731,728,702,712.0
14,14000,14000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",741,735,800,777,723,755.2
15,15000,15000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",908,1092,805,893,859,911.4
16,16000,16000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",845,813,806,1140,1385,997.8
17,17000,17000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",832,1029,930,858,1026,935.0
18,18000,18000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",937,890,1103,953,979,972.4
19,19000,19000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",2314,2012,1875,1793,1735,1945.8
20,20000,20000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",1872,1951,1980,1953,2486,2048.4
