Test Case,Rows,Columns,Xmin,Xmax,Ymin,Ymax,Search Density,Time1,Time2,Time3,Time4,Time5,AvgTime
1,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",259,244,232,264,235,246.8
2,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,150000",262,272,286,266,248,266.8
3,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,200000",416,517,577,549,641,540.0
4,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,250000",602,690,688,670,620,654.0
5,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,300000",696,612,558,642,623,626.2
6,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,350000",1155,1006,997,1032,1183,1074.6
7,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,400000",1192,955,1022,933,987,1017.8
8,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,450000",1088,1111,1136,1017,1091,1088.6
9,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,500000",923,988,1095,952,990,989.6
10,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,550000",922,964,1055,974,983,979.6
11,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,600000",1035,1003,1031,943,1034,1009.2
12,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,650000",951,1012,1029,1007,1228,1045.4
13,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,700000",1678,1892,1745,1838,1839,1798.4
14,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,750000",1700,1749,1684,1881,1654,1733.6
15,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,800000",1897,1826,1766,1736,1829,1810.8
16,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,850000",1824,1710,1930,1783,2129,1875.2
17,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,900000",2210,2013,2049,1923,1765,1992.0
18,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,950000",1895,1642,1748,1807,1703,1759.0
19,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","1,000000",1822,1771,2008,1629,1809,1807.8
