Test Case,Rows,Columns,Xmin,Xmax,Ymin,Ymax,Search Density,Time1,Time2,Time3,Time4,Time5,AvgTime
1,2500,2500,"-5,000000","5,000000","-5,000000","5,000000","1,000000",268,315,286,305,298,294.4
2,3000,3000,"-5,000000","5,000000","-5,000000","5,000000","1,000000",601,618,597,687,850,670.6
3,3500,3500,"-5,000000","5,000000","-5,000000","5,000000","1,000000",869,862,750,934,898,862.6
4,4000,4000,"-5,000000","5,000000","-5,000000","5,000000","1,000000",1038,1057,1019,1024,1134,1054.4
5,4500,4500,"-5,000000","5,000000","-5,000000","5,000000","1,000000",2068,2374,2318,2477,2437,2334.8
6,5000,5000,"-5,000000","5,000000","-5,000000","5,000000","1,000000",2724,2684,2726,2563,2749,2689.2
7,5500,5500,"-5,000000","5,000000","-5,000000","5,000000","1,000000",3139,3083,3176,3178,3240,3163.2
8,6000,6000,"-5,000000","5,000000","-5,000000","5,000000","1,000000",6083,5808,6053,6216,6071,6046.2
9,6500,6500,"-5,000000","5,000000","-5,000000","5,000000","1,000000",7006,6891,7181,6794,6419,6858.2
10,7000,7000,"-5,000000","5,000000","-5,000000","5,000000","1,000000",7454,7409,7190,7689,7916,7531.6
11,7500,7500,"-5,000000","5,000000","-5,000000","5,000000","1,000000",8299,8113,7811,8562,8682,8293.4
12,8000,8000,"-5,000000","5,000000","-5,000000","5,000000","1,000000",9362,9572,9284,10315,9640,9634.6
13,8500,8500,"-5,000000","5,000000","-5,000000","5,000000","1,000000",18561,18526,18995,18608,19397,18817.4
14,9000,9000,"-5,000000","5,000000","-5,000000","5,000000","1,000000",21510,22538,21430,18246,21967,21138.2
