Test Case,Rows,Columns,Xmin,Xmax,Ymin,Ymax,Search Density,Time1,Time2,Time3,Time4,Time5,AvgTime
1,1000,1000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",83,91,93,82,83,86.4
2,2000,2000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",435,440,462,439,432,441.6
3,3000,3000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",1100,1125,1151,1262,1167,1161.0
4,4000,4000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",2181,2265,2424,2596,2226,2338.4
5,5000,5000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",3607,3775,3501,3610,4169,3732.4
6,6000,6000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",6235,5169,5234,5142,5208,5397.6
7,7000,7000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",7457,7417,7528,7367,7569,7467.6
8,8000,8000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",10796,11697,16152,11214,10751,12122.0
9,9000,9000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",16845,14549,14227,14234,14526,14876.2
10,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",18031,20903,18444,18017,18061,18691.2
11,11000,11000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",22706,24572,21935,21326,20923,22292.4
12,12000,12000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",27007,25843,25974,25680,25752,26051.2
13,13000,13000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",31930,32332,30953,31690,32313,31843.6
14,14000,14000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",35980,38110,39290,46892,48319,41718.2
15,15000,15000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",57161,53144,48808,48246,49377,51347.2
16,16000,16000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",56035,54279,52306,52171,51678,53293.8
17,17000,17000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",60466,59876,52174,53692,52754,55792.4
18,18000,18000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",61061,58808,58430,62579,58883,59952.2
